feature,importance
V70,0.094874255
C8,0.063006625
V91,0.050166197
V90,0.04291926
V308,0.029185072
V69,0.02623242
C4,0.025077505
C14,0.02214466
V317,0.019607048
V294,0.016758788
V29,0.01302411
ProductCD,0.012857084
card6,0.011046152
V283,0.010927
V102,0.010490916
C1,0.009303271
V33,0.007764007
V48,0.007762453
V34,0.007702629
D3,0.007581212
M4,0.0075433217
V45,0.007428042
C13,0.0073422226
V94,0.0071478095
V134,0.0067348215
V87,0.00644526
C10,0.0063927593
C12,0.005993086
D2,0.005902777
V49,0.005508052
V312,0.0054162694
C7,0.0051992238
V128,0.005165873
C2,0.005127908
C11,0.005104671
V30,0.004990132
V95,0.004920671
V315,0.00490327
V281,0.0048454637
M6,0.0045710267
C9,0.004564759
V285,0.0045506037
V133,0.004409847
card3,0.0043228334
V88,0.004257286
V103,0.0042411694
C3,0.004146656
V72,0.004115107
C6,0.0039337054
V296,0.003901567
V62,0.0038646557
V304,0.0038313929
C5,0.003821813
V54,0.003792037
V99,0.0037504432
D15,0.0037028932
V280,0.0035475697
V287,0.0035046684
D10,0.0034882168
TransactionAmt,0.0034675812
V303,0.0034553201
D1,0.003419923
V83,0.0034104479
V318,0.0033561138
V21,0.0033426227
V76,0.003310713
V131,0.0032788194
M3,0.00324726
V320,0.0032422617
V82,0.0032409478
P_emaildomain,0.0032129472
V129,0.0031622984
V96,0.0031487313
M2,0.0031468347
V58,0.0031419287
card2,0.0031411669
V67,0.0031258422
V53,0.0031204585
D4,0.003059867
card1,0.0029933476
card5,0.0029911655
V15,0.002988287
V289,0.0029137456
V309,0.0029100138
V86,0.0028748724
V130,0.0028616742
V35,0.002814491
V314,0.0027880846
V310,0.0027791967
V20,0.0027745685
V13,0.0027485269
V44,0.002736017
V136,0.002733079
card4,0.0027313412
V73,0.0027228454
V75,0.0026872442
V282,0.002662474
V74,0.002651873
V36,0.0026203138
V298,0.0025823887
V22,0.0025681022
V279,0.0025618358
addr1,0.0025466797
V109,0.0025295524
V115,0.0025160955
V56,0.00251255
V61,0.0024962742
V19,0.0024891833
V43,0.0024869263
V97,0.00248626
D11,0.0024800953
V38,0.002429315
V307,0.0024138964
V313,0.002377966
V11,0.0023593255
V84,0.0023424255
V124,0.002336952
V12,0.0023099673
V40,0.0022986978
V286,0.0022752283
V60,0.0022549168
V121,0.0022535443
V52,0.0022489338
V302,0.0022302158
V301,0.0022134376
V66,0.0021935166
V17,0.0021746051
V122,0.0021663797
V55,0.0021515838
V100,0.002140679
V311,0.0021303347
V63,0.0021137572
V80,0.0021125546
V5,0.0020979831
V137,0.002092657
V51,0.0020911125
V31,0.0020865463
V288,0.0020792175
V291,0.0020763257
V18,0.0020561747
V23,0.0020374134
V47,0.0020313037
V4,0.0020300646
V26,0.0020282955
V42,0.0020127082
V7,0.0020087305
V292,0.0019685745
V284,0.0019285264
V81,0.001920806
V59,0.0019053714
V10,0.0019036797
V299,0.0018805376
V127,0.0018724783
V293,0.0018708063
V125,0.0018551871
V300,0.0018305599
V116,0.001780377
V290,0.0017638677
V50,0.0017601294
V111,0.0017600451
V24,0.0017415904
V2,0.0017409615
V93,0.0017353272
V77,0.0017193678
V25,0.0017162729
V321,0.001710992
V6,0.0016920229
M1,0.0016829896
V105,0.0016737344
V8,0.0016618492
V112,0.001657702
V85,0.0016543837
V3,0.0016270448
V89,0.0016166415
V37,0.0016161392
V295,0.0016098912
V78,0.0016077207
V319,0.0015493855
V71,0.001547592
V98,0.0015322928
V32,0.0014850775
V316,0.0014648319
V117,0.0014574939
V126,0.0014508268
V92,0.00144301
V46,0.0014336555
V108,0.0014269208
V135,0.0014188472
V9,0.0014157514
V297,0.0014046832
V123,0.0013995623
V306,0.0013972598
V64,0.001389379
V16,0.0013538582
V106,0.0012712991
V110,0.0011736468
V132,0.0011698905
V104,0.0011573182
V114,0.0010379035
V101,0.0009874197
addr2,0.00096825324
V79,0.00094232574
V57,0.0009307413
V39,0.00081686943
V118,0.0007056695
V113,0.0005796146
V14,0.0005137191
V120,0.00032088297
V28,0.0
V41,0.0
V1,0.0
V27,0.0
V68,0.0
V119,0.0
V107,0.0
V65,0.0
V305,0.0
